code,name_x,market,category,is225,Ncate,cate_name2,status,単位,day,memo,action,buy_price,sell_price,収益,収益率,name_x,sales_up[%],eiri_up[%],keiri_up[%],eiri/sales,,sales_2019,sales_2020,eiri_2019,eiri_2020,keiri_2019,keiri_2020,pure_2017,pure_2018,pure_2019,pure_2020,eps_2017,eps_2018,eps_2019,eps_2020,roe_2017,roe_2018,roe_2019,roe_2020,roa_2017,roa_2018,roa_2019,roa_2020
4971,メック(株),T1,化学,0.0,10,chemical,A,,7/4,イビデン向け/endがインテル,,¥2150,,,,メック(株),0.0,0.0,0.0,15.1,,10865978000.0,10865978000.0,1637100000.0,1637100000.0,1722350000.0,1722350000.0,1567618000.0,1778214000.0,1236410000.0,1236410000.0,81.77,92.85,65.16,65.16,10.75,11.72,7.68,7.68,8.14,9.56,6.18,6.18
4970,東洋合成工業(株),JQS,化学,0.0,10,chemical,A,,7/4,半導体部品fotoレジスト用感光機/チャート伸び続け/ｕ１．８,,,,,,東洋合成工業(株),6.4,40.0,31.5,8.9,,22975020000.0,24455000000.0,1559700000.0,2184000000.0,1567860000.0,2061000000.0,233286000.0,863058000.0,1171026000.0,1852000000.0,29.39,108.73,147.54,233.33,3.33,11.09,13.25,17.52,0.82,2.86,3.18,4.73
4929,(株)アジュバンコスメジャパン,T1,化学,0.0,10,chemical,A,,7/4,UU,,,,,,(株)アジュバンコスメジャパン,-9.5,-208.7,-162.7,-3.9,,5163649000.0,4674081000.0,169785000.0,-184618000.0,251495000.0,-157692000.0,330535000.0,311018000.0,25061000.0,-227928000.0,41.72,39.32,3.16,-28.63,7.28,6.67,0.55,,5.72,5.29,0.43,
4813,(株)ＡＣＣＥＳＳ,T1,情報・通信,0.0,15,infomation,A,,7/4,中国案件,,,,,,(株)ＡＣＣＥＳＳ,15.8,-27.4,-15.4,4.1,,8140354000.0,9422944000.0,534294000.0,387950000.0,508960000.0,430419000.0,314881000.0,246947000.0,377457000.0,493044000.0,8.14,6.38,9.75,12.72,1.08,0.84,1.27,1.63,1.02,0.8,1.19,1.5
4755,楽天(株),T1,サービス業,1.0,5,service,A,,7/4,５G銘柄,,,,,,楽天(株),0.0,0.0,,5.8,,1263932000000.0,1263932000000.0,72745000000.0,72745000000.0,,,110488000000.0,141889000000.0,-33068000000.0,-33068000000.0,79.96,105.14,-24.42,-24.42,16.17,18.32,,,1.79,1.93,,
4636,(株)Ｔ＆Ｋ　ＴＯＫＡ,T1,化学,0.0,10,chemical,A,,7/4,紫外線陰気シェア1/海外不調/狙い目,,,,,,(株)Ｔ＆Ｋ　ＴＯＫＡ,-2.9,48.4,18.1,1.1,,49638000000.0,48217000000.0,368000000.0,546000000.0,1095000000.0,1293000000.0,3203000000.0,2047000000.0,627000000.0,158000000.0,132.57,87.12,26.67,6.72,7.48,4.55,1.43,0.37,5.34,3.07,0.95,0.23
4485,(株)ＪＴＯＷＥＲ,MO,情報・通信,0.0,15,infomation,A,,7/4,ローカル５G/タワー事業への参入,,,,,,(株)ＪＴＯＷＥＲ,85.6,-140.7,-103.0,2.7,,1377990000.0,2558000000.0,-169705000.0,69000000.0,-166826000.0,5000000.0,,,-214841000.0,-13000000.0,,,-13.13,-0.93,,,,,,,,
3999,ナレッジスイート(株),MO,情報・通信,0.0,15,infomation,A,,7/4,割安/中国/クラウド,,,,,,ナレッジスイート(株),0.0,0.0,0.0,3.1,,2159940000.0,2159940000.0,66331000.0,66331000.0,61167000.0,61167000.0,147693000.0,59722000.0,18534000.0,77308000.0,0.17,12.57,3.72,15.51,38.14,6.0,1.89,7.89,27.47,3.57,0.79,3.31
3966,(株)ユーザベース,MO,情報・通信,0.0,15,infomation,A,,,speedaでビジネスデータの見える化/ｕ８,,,,,,(株)ユーザベース,0.0,0.0,0.0,-9.9,,12521000000.0,12521000000.0,-1236000000.0,-1236000000.0,-1429000000.0,-1429000000.0,438034000.0,610000000.0,-1620000000.0,-1620000000.0,15.13,20.39,-51.33,-51.33,24.17,11.59,,,9.94,3.24,,
3921,(株)ネオジャパン,T1,情報・通信,0.0,15,infomation,A,,7/4,グループウェア/クラウドサービス拡充,,,,,,(株)ネオジャパン,40.7,32.4,31.1,18.7,,2661000000.0,3742984000.0,528000000.0,699063000.0,547000000.0,717259000.0,296634000.0,324144000.0,382000000.0,495039000.0,20.64,22.05,25.79,33.38,10.49,10.38,11.07,12.84,7.96,7.92,8.41,8.55
3853,アステリア(株),T1,情報・通信,0.0,15,infomation,A,,,サブスク/海外/データ連携製品シェア１/米国出資,,,,,,アステリア(株),-23.0,-167.4,,-9.8,,3478310000.0,2677000000.0,388956000.0,-262000000.0,,,230401000.0,196998000.0,270595000.0,-176000000.0,15.52,11.9,16.39,-10.69,8.02,3.5,5.03,,6.4,2.61,3.8,
3844,コムチュア(株),T1,情報・通信,0.0,15,infomation,A,,6/23,アクセンチュア向け/独立系SI/u1.8/RPA案件/IT需要,,,,,,コムチュア(株),15.8,10.2,11.3,13.5,,18070110000.0,20932000000.0,2570789000.0,2833000000.0,2575736000.0,2867000000.0,1061650000.0,1395254000.0,1807830000.0,1974000000.0,72.91,95.69,61.25,62.14,27.35,28.64,20.05,17.63,14.57,16.22,13.92,13.36
3826,(株)システムインテグレータ,T1,情報・通信,0.0,15,infomation,A,,,ERP需要/ECサイト構築でSE稼働MAX/育児休暇制度も充実,,,,,,(株)システムインテグレータ,0.0,0.0,0.0,13.4,,4066040000.0,4066040000.0,544079000.0,544079000.0,557656000.0,557656000.0,137316000.0,345913000.0,578979000.0,578979000.0,12.4,31.22,52.26,52.26,10.97,22.03,28.5,28.5,4.28,10.85,20.93,20.93
3778,さくらインターネット(株),T1,情報・通信,0.0,15,infomation,A,,,独立系/官公庁案件,,,,,,さくらインターネット(株),12.3,65.6,99.5,4.3,,19501463000.0,21908899000.0,567208000.0,939206000.0,395841000.0,789644000.0,548871000.0,349469000.0,91639000.0,160091000.0,15.74,9.29,2.44,4.39,7.21,4.44,1.26,2.18,2.11,1.34,0.29,0.56
