code,年度,総資産,純資産,株主資本,利益剰余金,短期借入金,長期借入金,BPS,自己資本比率,営業CF,投資CF,財務CF,設備投資,現金同等物,営業CFマージン,売上高,営業利益,経常利益,純利益,EPS,ROE,ROA,一株配当,剰余金の配当,自社株買い,配当性向,総還元性向,純資産配当率,name
4215,2021/03,142743000000.0,87367000000.0,84840000000.0,38757000000.0,4034000000.0,404000000.0,880.26,60.0,4365000000.0,-2191000000.0,-4292000000.0,-5244000000.0,6712000000.0,3.25,134470000000.0,8511000000.0,8807000000.0,5332000000.0,54.77,6.22,3.74,22.0,3314000000.0,,62.15,62.15,2.5,タキロンシーアイ
4216,2021/03,67732000000.0,47108000000.0,45324000000.0,32927000000.0,3588000000.0,216000000.0,2436.65,68.9,3420000000.0,-2069000000.0,-1146000000.0,-2237000000.0,10398000000.0,6.39,53551000000.0,3404000000.0,3648000000.0,2789000000.0,145.69,5.98,4.12,50.0,962000000.0,1000000.0,34.49,34.53,2.1,旭有機材
4218,2021/03,61214000000.0,38078000000.0,36824000000.0,27201000000.0,,2000000000.0,1837.59,62.2,5911000000.0,-3067000000.0,-772000000.0,-2497000000.0,13344000000.0,14.23,41528000000.0,2000000000.0,2070000000.0,1350000000.0,65.15,3.55,2.21,30.0,683000000.0,,50.59,50.59,1.6,ニチバン
4220,2021/03,95208860000.0,61076854000.0,50156082000.0,35561518000.0,6976725000.0,2819082000.0,852.51,56.4,9387855000.0,-3002966000.0,-2796299000.0,-3597832000.0,21080770000.0,10.64,88224442000.0,5313663000.0,5652088000.0,3234206000.0,51.22,6.02,3.4,16.0,757012000.0,236807000.0,23.41,30.73,1.9,リケンテクノス
4221,2020/12,82651000000.0,49094000000.0,46276000000.0,29439000000.0,3321000000.0,1348000000.0,4115.79,59.4,9298000000.0,-4356000000.0,-3341000000.0,-4403000000.0,9179000000.0,11.48,80958000000.0,4286000000.0,4509000000.0,2865000000.0,240.33,5.84,3.47,60.0,655000000.0,1000000.0,22.86,22.9,1.5,大倉工業
4222,2021/03,13236686000.0,3936513000.0,3137283000.0,841416000.0,4540202000.0,723617000.0,414.17,24.4,627637000.0,-387521000.0,917109000.0,-414964000.0,1953287000.0,4.56,13768204000.0,508802000.0,351981000.0,350073000.0,53.09,10.85,2.64,,,220000.0,,0.06,,児玉化学工業
4224,2021/03,23904000000.0,17210000000.0,16898000000.0,7796000000.0,1180000000.0,,3733.76,72.0,1661000000.0,-1673000000.0,-378000000.0,-1642000000.0,6999000000.0,9.68,17167000000.0,1140000000.0,1281000000.0,872000000.0,189.18,5.07,3.65,60.0,368000000.0,,42.2,42.2,1.6,ロンシール工業
4228,2021/03,158439000000.0,70657000000.0,55077000000.0,23523000000.0,9185000000.0,20900000000.0,1549.81,44.2,6428000000.0,-3007000000.0,-632000000.0,-3987000000.0,12498000000.0,5.41,118851000000.0,2091000000.0,1956000000.0,1126000000.0,24.86,1.61,0.71,21.0,951000000.0,141000000.0,84.46,96.98,1.4,積水化成品工業
4229,2021/03,51984000000.0,43750000000.0,40461000000.0,15997000000.0,,,6366.91,81.2,3567000000.0,-806000000.0,-1310000000.0,-1277000000.0,8825000000.0,14.16,25194000000.0,2217000000.0,2451000000.0,1607000000.0,242.02,3.81,3.09,80.0,532000000.0,,33.11,,1.3,群栄化学工業
4231,2021/03,43875467000.0,31573854000.0,30002068000.0,22009747000.0,657940000.0,2100000000.0,1507.27,68.7,2838988000.0,-2816277000.0,539322000.0,,8769349000.0,7.76,36589964000.0,1152176000.0,1459280000.0,769472000.0,38.46,2.55,1.75,10.0,110031000.0,84000.0,14.3,14.31,0.7,タイガースポリマー
4234,2021/03,35988642000.0,19859010000.0,16887424000.0,12690709000.0,3470000000.0,1393256000.0,1708.83,52.1,2040653000.0,-584345000.0,-678015000.0,-468352000.0,6927339000.0,6.81,29986222000.0,613283000.0,906722000.0,1101024000.0,100.32,5.87,3.06,18.0,197543000.0,,17.94,17.94,1.1,サンエー化研
4235,2020/12,27613000000.0,9581000000.0,9581000000.0,6744000000.0,,,1468.45,34.7,1751000000.0,-141000000.0,31000000.0,-84000000.0,3049000000.0,17.51,10000000000.0,406000000.0,,35000000.0,5.41,0.37,0.13,20.0,219000000.0,,625.71,625.71,1.8,ウルトラファブリックス・ホールディングス
4237,2021/03,14681260000.0,8723034000.0,8583587000.0,5006688000.0,2130000000.0,1111492000.0,300.96,58.6,356687000.0,-458626000.0,-332981000.0,-286278000.0,3063163000.0,2.83,12585426000.0,309109000.0,346246000.0,207005000.0,7.24,2.41,1.41,6.0,171449000.0,21000.0,82.82,82.83,2.0,フジプレアム
4238,2021/01,22671342000.0,19025208000.0,18867526000.0,18192373000.0,,,2113.78,83.9,1334441000.0,2940082000.0,-1417898000.0,,11151773000.0,13.71,9733374000.0,868856000.0,954097000.0,1009179000.0,112.17,5.3,4.45,30.0,269767000.0,,26.73,26.73,1.4,ミライアル
4240,2021/03,1471496000.0,1319436000.0,1319436000.0,72914000.0,,,231.78,89.7,106067000.0,-14181000.0,-1583000.0,-14180000.0,241054000.0,13.89,763734000.0,34544000.0,37396000.0,31682000.0,5.57,2.4,2.15,,,19000.0,,0.06,,クラスターテクノロジー
4241,2021/03,5743788000.0,1720976000.0,1750010000.0,218654000.0,,2336622000.0,388.04,29.7,457241000.0,-407772000.0,196499000.0,-419416000.0,771508000.0,16.01,2855563000.0,162148000.0,189259000.0,75191000.0,17.09,4.4,1.31,5.0,13201000.0,81000.0,17.56,17.66,1.3,アテクト
4242,2021/03,35234000000.0,10967000000.0,8295000000.0,4390000000.0,2446000000.0,4985000000.0,2798.76,21.8,2599000000.0,-1027000000.0,-2012000000.0,,3872000000.0,7.0,37144000000.0,950000000.0,727000000.0,-654000000.0,-239.11,,,,27000000.0,,,,,タカギセイコー
